"name","unique_skills_required","highest_avg_salary"
"Atlantic Partners Corporation","31","185000"
"Atlantis IT Group","26","64395"
"Atlas Energy Solutions","1","98500"
"Atlas Real Estate","5","120000"
"Atlas Search","19","210000"
"AtlasIED","8","165000"
"Atlassian","69","257000"
"Atomic VC","11","137500"
"AtomicJar, Inc.","5","100000"
"Atorus","14","135000"
"Atos","119","205000"
"ATPCO","23","147500"
"ATR International","32","80000"
"Attabotics","2","99150"
"Attentive","10","106100"
"Atyeti","14","130000"
"Audi of America","6","107500"
"Audigent","18","130000"
"Augmedix","22","97444"
"Augusta Precious Metals","7","107800"
"Auriga Polymers Inc.","1","70000"
"Aurora Innovation","9","245500"
"Aurora Solar","10","99150"
"Austin Fraser","47","162500"
"Austin Werner","13","210000"
"Australian Bureau of Statistics","11","102425"
"Authority Partners","11","142000"
"Auto Plus Auto Parts","12","131000"
"AUTO1 Group","27","192000"
"Autodesk","93","190000"
"Autodesk, Inc","20","175000"
"Autodesk, Inc.","39","165000"
"AUTODOC","21","118640"
"Autofleet","5","157500"
"Automobile Club of Southern California","15","156500"
"AutoNation","9","110000"
"AutoZone","35","175000"
"AUX Partners","7","85000"
"Auxiliary Services Corporation","1","92500"
"Auxilior Capital Partners, Inc.","7","70000"
"Avalanche Labs","20","105000"
"Avaloq","40","147500"
"Avanade","79","164091"
"Avance Consulting","80","135000"
"Avanceon MEA","17","146000"
"Avanos Medical, Inc.","1","60000"
"Avantor","16","95000"
"Avantor Performance Material","6","115000"
"Avantus","10","100000"
"Avellino Lab USA Inc","4","112500"
"Averity","33","250000"
"Averna","14","111175"
"Avery Dennison","26","157500"
"Avetta (formerly PICS)","8","125000"
"Aveva","2","115000"
"Avinya Infotech","14","90000"
"Aviso Wealth","7","80850"
"AVIV Group","43","192000"
"Aviva","46","66169"
"AVNIK Defense Solutions, Inc.","5","90000"
"Axelerate","1","90000"
"Axelon Services Corporation","68","65000"
"Axiado","11","147500"
"Axient","46","110000"
"Axim Geospatial","10","75000"
"Axiom","10","157500"
"AXIS Capital Holdings Limited","4","115000"
"AxleHire, Inc.","2","67500"
"Axon","27","28000"
"Babo Community","2","130000"
"Babylist","6","156246"
"Back Market","22","157500"
"BAE Systems","91","165880"
"BAE Systems Plc","6","100000"
"BairesDev","69","45000"
"Baked by Melissa","6","65000"
"Baked By Melissa","6","65000"
"Baker Tilly","16","90000"
"Balbix","15","125000"
"Ball","26","218500"
"Ball Aerospace","15","90500"
"Balsam Brands","15","177500"
"Baltic Amadeus","10","147500"
"Baltimore City Public Schools","11","76748"
"Baltimore Corps (National Center On Institutions and Alternatives)","4","77000"
"Baltimore County, MD","4","81384"
"BAMM","9","117500"
"BandLab Technologies","14","96773"
"Banfield Pet Hospital","10","125000"
"Bank of America","82","126000"
"Bank of America Corporation","57","90000"
"Bank of Montreal","33","125000"
"Bankers Healthcare Group","11","90000"
"Banner Health","8","115000"
"Banyan Treatment Center","10","67500"
"Baptist Health South Florida","18","141511"
"Barbaricum","35","131580"
"Barclays","84","156000"
"Barclays Global Investors","12","134000"
"Baresquare","11","53014"
"BARK","12","175000"
"Barracuda Networks","20","125000"
"Barrington James","40","190000"
"BarryWehmiller Group","7","125000"
"Basalite Concrete Products","6","72500"
"BASF","54","170500"
"Basis Technologies","28","130500"
"BasisPath Inc","3","152500"
"Basketball Training Systems","1","52500"
"Battelle","28","125000"
"BAUHAUS","7","158500"
"BAXTER","36","96000"
"Bay Area Environmental Research Institute","15","107500"
"Bay Systems","5","74000"
"Bayer","100","375000"
"Bayer Inc.","60","100000"
"Bayesian Health","4","160000"
"Bayforce","13","135000"
"BayOne Solutions","56","175000"
"Bayut | dubizzle","24","100500"
"Bayview Financial Holdings, L P","7","115000"
"BCforward","85","86000"
"BCG X","45","253000"
"BDO USA, LLP","31","125000"
"BDR Solutions","10","190000"
"Beacon CPA","11","90000"
"Beacon Hill Staffing Group","59","82500"
"Beam","22","155000"
"Beam Suntory","31","225000"
"Beamery","20","147500"
"Beautyhaul","10","147500"
"Bechtel Corporation","23","125000"
"Beckman Coulter Diagnostics","35","142500"
"BEES","16","87705"
"Begin Hire","1","72500"
"Begin Learning","11","157500"
"Behavioral Health Group - BHG","2","65000"
"Behavioral Health Network of Greater St. Louis","6","52500"
"Behavioral Science Research Institute","5","62500"
"Believe","38","190000"
"Belkin International, Inc","7","125000"
"Bell Canada","57","175000"
"Bell Canada Enterprises","15","125000"
"Bell Gardens","4","58017"
"Bellwether Staffing Solutions","12","157500"
"Ben Allegretti Consulting (BAC)","2","90000"
"Benchling","15","185000"
"Benefitfocus","17","140000"
"BenevolentAI","15","88128"
"Benjamin Douglas","6","200000"
"Bennett Insurance Agency","7","67500"
"Benson Hill Biosystems","2","125000"
"Berkeley Lab","32","149874"
"Berkeley University of California","4","116700"
"Berkheimer Business Services","2","65000"
"Berkshire Hathaway Homestate Companies","15","164385"
"BerryDunn","8","92500"
"Bertelsmann","22","164500"
"Bespot","11","120000"
"Best Buy","30","135519"
"Best High Technologies","5","110000"
"Best Version Media","2","75000"
"Betches Media","4","80000"
"Bethesda","3","112500"
"Bethpage Federal Credit Union","1","77500"
"Betsy & Adam","4","85765"
"BetterBasket","6","100000"
"BetterHelp","12","175000"
"Betterview","12","150000"
"BEUMER Group","13","97444"
"BeVera Solutions LLC","4","115000"
"Beyond 12","4","75000"
"Beyond Finance","22","150000"
"Beyond Limits","35","125000"
"Beyond Meat","1","85000"
"BibleProject","10","85000"
"Big Cloud","38","175000"
"Big Lots","3","375000"
"BigBear.ai, Inc.","24","175000"
"BigChange","2","51014"
"BigCommerce","18","137389"
"Bigeye","10","110000"
"Bigfoot Biomedical","4","153000"
"BigID","47","157500"
"BIGO","5","82500"
"BigPay","15","96773"
"Bill.com","10","175000"
"Bill.Com","7","274000"
"BillEase","24","75000"
"Billtrust","8","166500"
"Billtrust US Careers","8","166500"
"Binance","67","111202"
"Binance.US","14","111175"
"Binghamton University","9","70000"
"Biofourmis","19","147500"
"Biogen","42","157500"
"BioIntelliSense","5","120000"
"Biolink360","2","155000"
"Biological Dynamics","12","175000"
"BioMarin","7","185000"
"BioSpace","85","108416"
"Birdeye","9","63000"
"Birdi Systems, Inc.","1","80000"
"Bitflow Innovative Group Inc","5","90000"
"BitGo","15","147500"
"BitMEX","6","147500"
"Bitpanda","28","89100"
"BitRelish Corporation","21","180000"
"Bixal","20","111175"
"Biz2Credit Inc","1","120000"
"Bizessence Pty","5","111000"
"Black Crow AI","14","152500"
"Black Equity Coalition","3","81953"
"Black Knight Financial Technology Solutions LLC","11","175000"
"Black Swan Data","43","157500"
"Blackbaud","25","79050"
"Blackberry","5","125000"
"BLACKCLOAK","13","150000"
"Blackline","16","178000"
"BlackLine","21","115000"
"Blackmere Consulting, LLC","20","165000"
"Blackmere Talent Acquisition","19","165000"
"Blackpoint Cyber","13","90000"
"BlackRock","64","92500"
"Blackrock Resources","3","95000"
"BlackRock, Inc","16","190000"
"Blackspoke LLC","12","100000"
"Blackstone Consulting, Inc.","6","124500"
"BlackTree Technical Group, Inc.","5","80000"
"BlastPoint","11","120000"
"Bleacher Report","3","157000"
"Blend","30","106000"
"Blend360","50","249000"
"BLEND360","28","147500"
"Blink Health","11","175000"
"Blizzard Entertainment","40","132367"
"block","14","130500"
"Block","64","300000"
"Blockscope","9","115000"
"BlockSwap Network","11","80850"
"Bloom Energy","24","195000"
"Bloom Medicinals","6","110000"
"Bloomberg","66","200000"
