"name","unique_skills_required","highest_avg_salary"
"LeaseQuery.com","12","90000"
"Ledgent Technology","61","180000"
"LEE KUM KEE","5","68000"
"Lee Ogle Transportation System","3","61500"
"Leeds Professional Resources","23","125000"
"LegalZoom","24","150000"
"Leidos","114","199838"
"LEIDOS","92","182000"
"Leidos Holding","5","136875"
"Lèlior Home Fragrance","6","52000"
"Lely","12","147500"
"Lemon.io","18","87500"
"Lemonade Finance","4","99150"
"Lendistry","16","100000"
"Lennar Corporation","20","375000"
"Leola Construction, LLC","1","55000"
"Let's Do This","4","88128"
"Level","20","177500"
"LevelUP","28","85000"
"Leverage","10","135000"
"Levi Strauss","18","125000"
"Lexical Intelligence, LLC","3","100000"
"Lexicon Solutions","15","145000"
"LexisNexis Group","20","101014"
"LGC Group","9","147500"
"LHH","103","145000"
"LHH Recruitment Solutions","35","75000"
"Li-Cycle","7","125000"
"Libertex Group","16","53014"
"Liberty Mutual","30","162500"
"Liberty Mutual Insurance","52","230401"
"Liberty Personnel Services","15","115000"
"Liberty Personnel Services, Inc","26","90000"
"Life Science People","18","350000"
"Life360","9","181500"
"LifeMD","7","95000"
"LIFEMOVES","3","87500"
"LIFEN","8","166420"
"Lifescale Analytics","15","75500"
"Liftoff","17","180000"
"Liftoff Mobile","19","175000"
"Liftoff Mobile Inc.","5","180000"
"Light & Wonder","26","57500"
"Lightcast.io","3","177500"
"Lighthouse Professional Services","10","115000"
"Lightmatter","4","225000"
"Lightspeed Commerce","12","109500"
"Lightspeed L.A.","2","132500"
"Lilium","6","111175"
"Lilu, Inc","2","78000"
"Lily AI","4","185000"
"Lima One Capital","12","35000"
"Lime","18","152500"
"Lineate","9","166000"
"Link LLC","3","137500"
"Linktree","11","147500"
"Linquest Corporation","15","375000"
"Linum Labs","9","65000"
"Lirio","15","189500"
"LivaNova","9","90000"
"Live Nation Entertainment","46","150000"
"Livedocs","5","140000"
"LiveOak Fiber","7","147500"
"LivePerson","37","196000"
"Lloyd's Register","8","64800"
"Lloyds Banking Group","61","69447"
"LMRE","13","150000"
"Loam Bio","15","96773"
"LoanSnap","8","90000"
"Local Boy Outfitters","1","42500"
"Local Logic","17","90000"
"Locaria","11","80850"
"Locate Software Inc","7","142500"
"Lockheed Martin","82","201000"
"Lockheed Martin Corporation","75","130800"
"Locus Robotics","21","225000"
"Logic20/20","13","151500"
"Logic20/20 Inc.","20","177500"
"Logic20/20, Inc.","15","146000"
"LogicMonitor","13","137110"
"Logispin","16","163782"
"Logistics Management Institute","57","175000"
"Logitix","11","80000"
"Logix Federal Credit Union","11","89879"
"London Approach","8","90000"
"Long Ridge Partners","13","375000"
"Lonza","34","129000"
"LookFar Labs","18","129934"
"Loop","18","154000"
"Loop Health","4","93600"
"LoopMe","15","104668"
"Lorien","80","180000"
"Lorven technologies","59","125000"
"Lorven Technologies Inc.","54","67500"
"Los Alamos National Laboratory","31","160000"
"Los Angeles County","3","125000"
"Los Angeles County Department of Human Resources","7","143311"
"Los Angeles Dodgers LLC","6","70000"
"Los Angeles Metro","8","130104"
"Los Angeles Rams","8","100000"
"Lotus USA Inc","9","70000"
"Loudoun County Government","7","102080"
"Loudoun County Public Schools","6","101260"
"Louisiana Primary Care Association","2","39250"
"Love's Travel Stops","16","118640"
"Love, Bonito","13","100500"
"Lovelytics","10","155000"
"Lowe's","36","121400"
"Lowe's Companies","15","121400"
"Lowe’s","33","150000"
"Loxia Technologies","3","67000"
"Loyola Marymount University","9","85000"
"LPL Financial","46","155000"
"LPL Financial Holdings, Inc.","3","91800"
"LRE Water","12","100000"
"LS Technologies, LLC","1","175000"
"LSG Sky Chefs","2","54233"
"LTI - Larsen & Toubro Infotech","69","130000"
"LTIMindtree","118","160000"
"LTK","37","235000"
"LTV SaaS Fund","3","85000"
"Lubbock, Texas","3","46238"
"Luca","6","145000"
"Lucas Group, A Korn Ferry Company","4","112500"
"Lucid Motors","54","182000"
"Lucile Packard Children's Hospital Stanford","1","100000"
"Ludlum Measurement Inc","6","88900"
"Lulus","2","125000"
"Lulus Fashion Lounge Llc","3","100000"
"Lumen","76","162060"
"Lumen Technologies","49","100000"
"Lumen Technologies, Inc","7","150000"
"Lumicity","26","160000"
"Lumin Digital","21","175000"
"Luminar Technologies","22","150000"
"LUMISOURCE, LLC","5","77500"
"Lumosdata","9","100000"
"Lunit","31","177000"
"Luno","15","171121"
"Lutron Electronics Company","11","225000"
"Luxoft","130","140000"
"Lyft","54","237500"
"Lymba Corporation","4","80000"
"Lynx Analytics","27","157500"
"LyondellBasell","47","155000"
"LyondellBasell Industries","36","225000"
"Lyra Health","8","150000"
"Lyst","13","147500"
"M-KOPA","21","158500"
"M Corp","13","182500"
"M Science","6","155000"
"M&D CAPITAL PREMIER BILLING","5","66589"
"M&P Search Group","3","85000"
"M&T Bank Corporation","15","125000"
"M.S. Hall + Associates","8","55000"
"M13","13","120000"
"M47 Labs","9","104668"
"M9 Solutions","23","115000"
"Machina Labs","8","133000"
"Mackin Talent","10","157500"
"Macmillan Learning","20","90000"
"MacMillan Publishers","13","150000"
"Macquarie Group","79","150000"
"Madison Square Garden Network","4","90000"
"Madison Trust Company","5","62500"
"Maersk","56","154000"
"Maesa","5","170000"
"Magic Leap","22","89100"
"Magid","7","120000"
"Magna","44","90000"
"Magnify","1","67500"
"Magno IT Recruitment","37","156500"
"MailOnline","19","80000"
"MAINSAIL Group","5","90000"
"MaintainX","12","125000"
"Major League Baseball (MLB)","19","187500"
"MAKE Corporation","28","118000"
"Mammoth Growth","7","157000"
"Management Science and Solutions","6","103829"
"Management Science Solutions","5","147957"
"Management Sciences for Health (MSH)","3","84200"
"MANDO TECHNOLOGIES INC","30","110000"
"Mane USA","3","65000"
"MANGOPAY","18","131580"
"Manhattan Associates, Inc","2","90000"
"Manna","3","72900"
"Manpower Group Inc.","42","102000"
"ManpowerGroup Greece","16","104668"
"Mantality Health","2","53929"
"ManTech","89","170500"
"ManTech International","67","225000"
"ManTech International Corporation","43","200500"
"MANTRA Solutions Inc","13","103472"
"Manulife","87","73500"
"Manulife and John Hancock","11","83440"
"Manulife Financial Corporation","24","125000"
"ManyPets","3","115000"
"Maram Design Office","5","47609"
"Marani Health Inc","5","130000"
"Marathon Health","8","85000"
"Marathon Medical","2","47500"
"Marathon Petroleum","7","90000"
"Marathon TS","54","160000"
"Marathon TS Inc","43","150000"
"Marchex Inc.","10","111500"
"Maricopa County, AZ","3","85332"
"Marigold Health","11","72000"
"Marin Software","11","150000"
"Marine Corps Community Services","5","150000"
"Market Street Talent","12","175500"
"MarketDial","6","90000"
"Marlabs","5","123000"
"Marlowe Partners LP","2","175000"
"Marquee Brands","7","125000"
"Marriott","39","184875"
"Mars Inc","10","90000"
"Marsh McLennan","74","120000"
"MARTA (Metropolitan Atlanta Rapid Transit Authority)","9","82052"
"Martin & Conley","20","155000"
"MaryRuth's","13","95000"
"Masco Corporation","18","115000"
"MashPoint - Technology & Staffing","8","100000"
"Masis Professional Group","1","47500"
"Mason Frank International, Leader In Salesforce Recruitment","6","95000"
"Masonite","2","90000"
"Mass Dept of Transportation","2","85415"
"MASS MUTUAL FINANCIAL GROUP","22","141000"
"Massachusetts Bay Transportation Authority","4","89315"
"MassMutual","53","144500"
"Mastech Digital","72","112500"
"Mastech Digital, Inc.","13","125000"
"Mastercard","104","171000"
"MasterCard","100","158000"
"Mastercard, Inc.","9","210000"
"Mastermind.com","7","110000"
"Match Group","60","241500"
"Match.com","8","125000"
"matchpoint solutions","17","157500"
"MatchPoint Solutions","8","140000"
"Material Bank","10","90000"
"Mathematica","42","120000"
"Matlen Silver","63","140000"
"MATRIX Resources","70","193500"
"Mattress Firm","5","200000"
"Maven Clinic","16","295000"
"Maven Wave Partners","11","125000"
"Mavensoft Technologies, LLC","19","50000"
"Mavent Analytics","8","215000"
"Maveric NXT Inc","3","90000"
"Maveric NXT INC","7","125000"
"Max All Management, Inc.","5","65000"
"Maxar Technologies","46","200000"
"Maximus","56","115575"
"Maximus Services, LLC","14","98650"
"Maxis Studios","4","132950"
"MaxPeopleHR","5","49567"
"Maxwell Bond®","37","50000"
"May Mobility","19","147500"
"Mayo Clinic","31","115565"
"Mayor's Office of Contract Services","5","88694"
"MB Advisors","3","67500"
"Mb Staffing Services LLC","8","71500"
"MBTA","8","89315"
"Mcafee","7","174375"
"McAllister & Quinn, LLC","1","62500"
"McCann New York","1","65000"
"McDonald's Corporation","44","108416"
"MCE","7","118425"
"MCHC Health Centers","2","107515"
"McKee Foods Corporation","9","81450"
"McKesson","72","164000"
"MCKESSON","65","135000"
"McKinsey & Company","97","200000"
"McLane Company","27","100000"
"McLane Company, Inc.","26","125000"
"McMaster-Carr","9","95000"
"mCubed Staffing","4","105000"
"Md Anderson Cancer Center","11","150000"
"MD Anderson Cancer Center","37","126000"
"MDF Commerce","6","125000"
"MealSuite","2","80850"
"Measures for Justice","2","101116"
"Medasource","32","115000"
"Medcor","2","85000"
"MedeAnalytics","26","125000"
"MEDEANALYTICS","11","125000"
"Medha Technologies","4","60000"
"Media.Monks","47","157500"
"MediaAlpha","6","160000"
"Mediacom Communications Corporation","4","102500"
"MediaLab","13","147500"
"MediaMath","30","265500"
"Medical Data Systems, Inc (MDS)","1","61314"
"Medical Solutions","17","173775"
"Medical Solutions, LLC","11","167500"
"Medidata Solutions","42","158000"
"Medix","18","140000"
"Medix Technology","23","155000"
"Medix™","24","115000"
"Medlytix, LLC","5","60000"
"Medtronic","73","375000"
"Meduit | Driving Revenue Cycle Performance","2","95000"
"MedZed, LLC","5","73000"
"MeetElise","5","141241"
"Meetup","15","112500"
"Melio","17","166000"
"Mellow Mushroom","2","65000"
"Mem Labs","3","125000"
"Memorial Hermann","9","125000"
"Memorial Sloan Kettering Cancer Center","9","83200"
"Men's Health Clinic (MHC)","10","47500"
"Mendix","20","185500"
"Menlo Security","10","79200"
"menMD","2","57500"
"Mental Health, Office of","5","92528"
"Mention Me","3","80850"
"Mentra","4","76500"
"Meo Staffing","7","140000"
"Mercedes-Benz R&D North America","21","138000"
"Mercer","45","83000"
"Merck","73","150000"
"Merck & Co, Inc","21","185710"
"Merck & Co., Inc.","1","144000"
"Merck Group","27","170000"
"Mercury","13","350000"
"Mercury Insurance","19","150000"
"Meredith Corporation","5","125000"
"merican Inc","14","145000"
"Meridian Cooperative","7","90000"
"Meridian Energy","9","51014"
"Mérieux NutriSciences - North America","5","55000"
"Merit America","3","99400"
"Meritis","63","134241"
"Merkle","70","143500"
"Mero AI","7","46500"
"Meta","79","375000"
"Meta Inc","50","212351"
"Meta Inc.","17","233000"
"Metabase","9","140000"
"Metagenics","9","125000"
"Metagenomi","9","172500"
"MetaPhase Consulting","25","130000"
"Méthode Srl","12","157500"
"Metrc, LLC","10","105000"
"Metro One LPSG Security Company","11","110000"
"METRO/MAKRO","14","63000"
"MetroPlus Health Plan","3","83000"
"MetroPlusHealth","5","80000"
"Metropolis","12","99150"
"Metropolis Technologies","14","200000"
"Metropolitan Atlanta Rapid Transit Authority (MARTA)","7","82052"
"Metropolitan Commercial Bank","2","107500"
"Metropolitan Council","33","100547"
"Metropolitan Transportation Authority","39","102500"
"Metyis","52","249000"
"MezTal","9","80850"
"MGO","3","125000"
"Mice Groups","9","125500"
"Michael Kors","11","112500"
"Michael Page","147","130000"
"Michael Page International","61","142500"
"Michael Page International Inc","38","202500"
"Michael Page Vietnam","6","66000"
"Michelin","50","155000"
"Microchip Technology","23","125000"
"Micron Technology","48","170575"
"Microsoft","96","195500"
"Microsoft Corporation","74","195500"
"Mid Atlantic Professionals Inc.","8","95000"
"MidAmerican Energy","11","131476"
"Middle Tennessee EMC","5","141000"
"Midea America Corp","7","115000"
"Midi","7","167357"
"Midtown Consulting Group","4","100000"
"Midtown Home Improvements","11","95000"
"mign","5","75000"
"Mike Todd Construction","1","74315"
"Military Treatment Facilities under DHA","2","82830"
"Milk Moovement","13","96773"
"Millennial Software","10","145000"
"Millennium","69","175000"
"Millennium Software Incorporated","5","75000"
"millenniumsoft","2","76590"
"Milliman","41","132500"
"Milliman Inc","9","115000"
"Milliman Inc.","10","111030"
"Million Dollar Round Table","1","115000"
"MilliporeSigma","35","99250"
"Milwaukee Electric Tool","7","90000"
"Mindera","53","131580"
"Mindex","19","115000"
"Mindlance","86","172500"
"MindPoint Group","12","155000"
"Mindtickle","22","185500"
"MindTree Limited","12","140000"
"Mindvalley","22","166000"
"MindX Jobs","27","100500"
"Mineral.ai","4","185000"
"Minimum Continuing Legal Education Board of the Supreme Court of Illinois","6","65000"
"minka_","21","90000"
"Minneapolis Public Schools","6","101350"
"Minnesota Pollution Control Agency","5","68591"
"Mint Mobile","11","85000"
"Mintel","15","111175"
"Minuteman Press","4","63500"
"Mirai Talent","22","110000"
"Miratech","33","156500"
"Miro","27","147500"
"Mission Box Solutions","24","130000"
"Mission Loans LLC","5","114000"
"Mission Staffing","14","170000"
"Mission Valley Bank","2","77500"
"MissionStaff","22","137500"
"MissionWired","8","110000"
"Missouri Public Service Commission","1","53357"
"Missouri State Teachers Association","3","60000"
"MIT","6","117500"
"Mitchell Martin Inc.","58","130000"
"Mitchell Martin, Inc","6","80000"
"Mitra Chem","9","145500"
"Mitsubishi HC Capital America Inc","5","186000"
"Mixpanel","9","264500"
"Mizuho Americas","23","106250"
"Mizuho Financial","9","125000"
"MJHS","4","84809"
"MKS2","8","75000"
"mlxar","1","55000"
"MMC Group","4","50000"
"MMD Services","30","132500"
"MMD Services, Inc","1","110000"
"MNJ Technologies","5","77500"
"Mobile Programming LLC","70","99150"
"MobilityWare","13","152500"
"Model N","8","79200"
"Modern Intelligence","10","70000"
"Modern Technology Solutions","3","175000"
"Modis","104","145000"
"Moen","10","187500"
"Moffitt Cancer Center","23","125000"
"Moladin","24","166420"
"Molecular Testing Labs","3","125000"
"Molina Healthcare","29","125000"
"Mollie","26","147500"
"Moloco","31","199790"
"Molson Coors Brewing Company","5","90000"
"Momentive Global Inc.","8","175000"
"Momentive.ai","22","181900"
"Momento USA LLC","18","75000"
"Momentum (BuildMomentum.io)","5","86000"
"Momentum Resource Solutions","19","175000"
"Mondelez International","57","90000"
"Mondia Group","25","96773"
"Mondo","40","140000"
"Mondrian Alpha","24","162500"
"Moneris Solutions Corporation","3","90000"
"Money Fellows","8","96773"
"Moneyfarm","11","131580"
"Moneygram","5","122375"
"MongoDB","73","249000"
"Montage Marketing","10","85000"
"Montage Marketing Group","10","70000"
"Montecito Bank & Trust","7","88083"
"Montefiore Medical Center","18","115000"
"Montevideo Labs","24","100500"
"Montgomery County Government","12","128420"
"Moody's","78","110000"
"Moodys Corporation","5","115000"
"Moodys Northwest consulting","5","130134"
"Moon Now","9","110000"
"MoonPay","8","111175"
"Moore Staffing Services","3","52500"
"Morgan Hunter","10","100000"
"Morgan Stanley","67","175000"
"Morning Consult","9","92550"
"Morningstar","48","90000"
"Morpheus Talent Solutions","22","222500"
"Morrison & Foerster","7","131000"
"Morrison & Foerster LLP","7","150000"
"Morrison Foerster","7","150000"
"MORSE Corp","5","106440"
"Morse.","9","160000"
"MosaicML","2","220000"
"Moss Adams LLP","17","128000"
"MotherDuck","13","207500"
"Mothership","9","101000"
"Mothership Strategies, LLC","4","65000"
"Motimatic","6","170000"
"Motion Picture Industry Pension & Health Plans","7","125000"
"Motion Recruitment","125","210000"
"Motional","38","196500"
"Motionworks International","11","250000"
"Motius","13","147500"
"Motivate LLC","9","92500"
"MotorK","22","111175"
"Motorola Solutions","68","90000"
"MotorTrend Group","23","102500"
"Motorway","11","131867"
"Mount Sinai","19","120577"
"Mount Sinai Health System","36","107500"
"Movable Ink","15","262500"
"Môveo AI","6","89100"
"Moveworks","19","156000"
"MP RPO","4","112500"
"Mphasis","45","130000"
"MphasiS Corporation USA","5","130000"
"MRI Software","28","47500"
"mroads","16","145000"
"MRoads","37","100000"
"MSCI Inc.","46","90000"
"MSI International","15","146500"
"MSP Staffing  LTD","24","890000"
"MU Health Care","14","67923"
"MUFG","30","89100"
"MUFG Investor Services","28","147500"
"Mujin Inc","2","44419"
"Mulligan Funding, LLC","2","125000"
"Multi Media","5","150500"
"MultiLingual Solutions Inc.","1","112500"
"MultiPlan Inc.","19","175000"
"Munich Re","66","232000"
"Municipal Employees' Annuity and Benefit Fund of Chicago","8","70000"
"Muon Space Inc","14","142500"
"murmuration","15","200000"
"Murmuration","14","200000"
"Murtech Consulting","5","162500"
"Mutt Data","27","101029"
"Mutual of Omaha","19","128500"
"MVP Health Care","13","112400"
"MX Technologies","4","125000"
"My IT LLC","19","165500"
"myAgro","2","100500"
"MyCare Medical Group","18","137500"
"myGwork","138","135000"
"MyHealth Access Network","9","75739"
"Mynd","8","146000"
"Myntra","11","64800"
"MYR Group","2","63000"
"Mysten Labs","2","220000"
"MyyShop","4","210000"
"n-Lorem Foundation","4","90000"
"Na Oiwi Kane","2","80903"
"Nagarro Inc","10","115000"
"Nahant Town Hall","3","90000"
"NAIS","8","137500"
"Namely","9","90000"
"NAMI Chicago","2","55000"
"Nana Development Corporation","4","90000"
"Nanobit","5","45000"
"Nanoverse Technologies, Ltd.","3","160000"
"Narreach","9","175000"
"NASA Jet Propulsion Laboratory California Institut","4","150000"
"Nasdaq","18","64500"
"NASK","9","95000"
"Natick Public Schools","1","72209"
"National Basketball Association (NBA)","9","177500"
"National Center for Youth Law","5","83919"
"National FinTech Engineering","10","157500"
"National Football League (NFL)","7","200000"
"National Funding","10","180000"
"National General Insurance","15","91250"
"National Geospatial-Intelligence Agency","29","170000"
"National Grid","58","144500"
"National Grid (UK)","30","160000"
"NATIONAL GRID CO USA (NE POWER)","34","143500"
"National Institutes of Health","9","152222"
"National Insurance Crime Bureau","15","150000"
"National Multiple Sclerosis Society","8","115000"
"National Oceanic and Atmospheric Administration","9","78592"
"National Park Foundation","9","100000"
"National Renewable Energy Laboratory","32","108800"
"National Storage Affiliates","11","95000"
"National University","17","83850"
"Nationwide Insurance","28","125000"
"Nationwide IT Services, Inc","3","116000"
"Natixis in Portugal","49","156500"
"Nav Technologies","8","150000"
"Nav Technologies, Inc.","11","185000"
"Nava","9","107755"
"Naval Air Systems Command","15","132368"
"Naval Sea Systems Command","1","77738"
"Navan","16","191000"
"Navarro Inc.","3","57500"
"Navient","30","215049"
"Navient Corporation","11","90000"
"Navistar","19","90000"
"Navy Federal Credit Union","58","177500"
"Navy Systems Management Activity","1","98496"
"Nawy Real Estate","19","96773"
"NAX Group","23","190000"
"Naya Homes","6","132500"
"Nayya","15","167500"
"NAZTEC Int. Group","3","75000"
"NBA","13","157500"
"NBA Media Ventures, LLC.","5","150000"
"NBCUniversal","80","218000"
"NBCUniversal Media, LLC","20","175000"
"NCdotGov","7","82006"
"NCIRE","6","90613"
"NCUA","6","146383"
"NDX Human Capital Solutions","5","125000"
"NE-NERSC","9","189276"
"Near","36","171875"
"Neara","12","79200"
"NECSWS","19","147500"
"Nedbank","38","170500"
"NeenOpal Inc.","16","65000"
"NEMS - Stockton Street","2","135520"
"Neo Cybernetica","13","85000"
"Neo Financial","16","99150"
"Neo tech solutions","4","85000"
"Neo Tech Solutions","1","62500"
"neo.tax","9","90670"
"NEOTECH SOLUTIONS","1","65000"
"Nesco Resource","46","130000"
"Nesco Resource, LLC","16","120000"
"Nespresso","13","158525"
"Nestle","53","175000"
"Nestlé","70","163875"
"Net2Source Inc.","72","140000"
"Neta Scientific, Inc.","3","48750"
"NetApp","52","54988"
"Netcentric","25","147500"
"Netcompany","43","114250"
"Netcompany-Intrasoft","66","157500"
"neteffects","54","105000"
"Netflix","30","450000"
"Netomi","29","147500"
"Netradyne","27","152500"
"NetraDyne","6","150000"
"Nets","22","166420"
"Netskope","84","177283"
"Network ESC A Division of Network Temps, Inc.","10","190000"
"Neuberger Berman","13","175000"
"Neuralink","4","147500"
"NeuralSpace","6","101029"
"Neuro-development of Words, LLC","6","50000"
"Neurons Lab","10","62000"
"NeuroRPM","5","88128"
"New American Funding","19","147500"
"New Bath Today","10","100000"
"New Classrooms","5","95000"
"New Directions Staffing","7","115000"
"New England Board of Higher Education","8","75000"
"New Expressions","3","127500"
"New Hampshire Judicial Branch","2","92460"
"New Mexico Coalition to End Homelessness","1","60000"
"New Relic","45","225000"
"New Wave Staffing","16","170000"
"New World Now LLC","1","80000"
"New York Blood Center Inc","10","115000"
"New York City Campaign Finance Board","5","82500"
"New York City Council","7","80000"
"NEW YORK CITY HEALTH AND HOSPITALS CORPORATION","3","72500"
"New York City Housing Development Corporation","4","95000"
"New York City Office of Technology & Innovation","20","108287"
"New York Life Insurance Co","49","150000"
"New York Medical College","8","56000"
"New York Post","9","125000"
"New York Power Authority","23","125000"
"New York Presbyterian","6","70000"
"New York Psychotherapy and Counseling Center","8","75000"
"New York State Department of Health","14","112434"
"New York State Department of State","3","62221"
"New York State Higher Education Services Corporation","6","92528"
"New York State Insurance Fund (NYSIF)","4","71678"
"New York State Office of the Attorney General","2","81047"
"New York Technology Partners","50","130000"
"New York University","38","84000"
"Newell Brands Inc","7","125000"
"NewLimit","6","147500"
"NewMarket Corporation","2","90000"
"newport county community health","3","86500"
"News-Corp","6","162500"
"News Corp","45","115000"
"NewWave","3","100000"
"Nexo","6","192500"
"NexPro Technologies Inc","9","125814"
"Next Insurance","27","192500"
"NEXT Insurance","20","181500"
"NEXT STEP STAFFING","3","87500"
"Next Step Systems","5","87500"
"Next Ventures","46","155000"
"NextAfter","5","80000"
"Nextdoor","11","350000"
"NextEra Energy","42","175000"
"NextGen | GTA: A Kelly Telecom Company","22","145000"
"NextGen Global Resources","7","92500"
"NextGen Invent Corp","12","82512"
"Nexthink","25","89100"
"Nextracker Inc.","30","160000"
"nexus IT group","2","165000"
"NFF, Inc","17","90000"
"NFI Industries","23","90000"
"NFT Text Inc.","4","110000"
"Niagara Bottling","19","123849"
"Nielsen","63","157500"
"NielsenIQ","104","157500"
"Nigel Frank International","96","180000"
"Nightingale Caring Solutions","6","91000"
"Nike","61","208000"
"NIKE, Inc","21","150000"
"Nimble","7","145000"
"NineDot Energy","15","117500"
"Ninety9 Capital","5","54000"
"Ninja Van","47","147500"
"Nirsense Inc","9","112500"
"NiSource","20","125000"
"Nissan","30","139322"
"Nisum","64","165000"
"NiSUS Technologies","5","87705"
"Nitor","9","121064"
"nitruc","11","255000"
"Nitto BioPharma, Inc.","5","90000"
"Nityo Infotech Corporation","30","132500"
"Nixon Webtech","6","75000"
"NJF Global Holdings Ltd","4","175000"
"NLB Services","89","127500"
"NLB Technology Services","10","115000"
"NLP Logix","20","90000"
"NobleAI","4","174040"
"Noblis","48","375000"
"Noblis, INC","18","61650"
"NoGood","4","115000"
"Nominet","16","77018"
"Nomura","26","115000"
"Noodles & Company","7","125000"
"Noom","7","220000"
"Norbert Health","4","80850"
"Nord Group","21","275000"
"Nordea","75","170500"
"Nordstrom","42","150000"
"Nordstrom Inc","12","167000"
"Nortal","54","165000"
"North Bridge Staffing Group","4","62500"
"North Carolina State University","2","70000"
"North Cut Trading LLC","6","145000"
"North Lauderdale","2","101279"
"North Starr","5","140000"
"NorthBay Solutions","37","185500"
"Northbound Executive Search","10","225000"
"Northeastern University","50","72000"
"Northpass","21","96773"
"Northrop Grumman","78","191000"
"Northrop Grumman Corp.","10","195000"
"Northrop Grumman Federal Credit Union (NGFCU)","5","123984"
"Northwell Health","21","115000"
"Northwestern Memorial Healthcare","12","99150"
"Northwestern Mutual","35","150000"
"Northwestern University","32","51337"
"Norwegian Cruise Line Holdings Ltd.","21","75000"
"NOS SGPS","11","75068"
"Notable","1","100000"
"Notion","17","207500"
"Notion Labs","7","187500"
"Nou Systems Inc","8","94500"
"Nova Credit","11","168500"
"Nova Southeastern University","17","52000"
"Novacoast, Inc","11","165000"
"Novartis","81","163000"
"Novartis Pharmaceuticals","40","171000"
"Novetta","29","171850"
"Novo Nordisk","78","170500"
"Novo Nordisk US","13","125000"
"NOVOS FiBER","3","95000"
"Novozymes","26","142000"
"Novul Solutions","11","160000"
"NOVUS Professional Services Inc.","17","115000"
"NR Consulting LLC","40","165000"
"NRB Group","13","163782"
"NRG","25","121500"
"nSight Surgical","12","147500"
"NT Concepts","16","157500"
"Ntirety","2","86500"
"Ntropy Network","12","130000"
"NTT DATA","121","123000"
"NTT DATA  Services","79","175000"
"NTT DATA Romania","45","86400"
"NTT Global Data Centers Americas, Inc.","2","132000"
"Nubank","24","166000"
"NuEnergen, LLC","4","52500"
"Numberly","48","157500"
"Numentica LLC","37","115000"
"Numerade","7","135000"
"Numero Data","9","82500"
"NUMEUS","6","162500"
"Nuna Inc.","8","197500"
"Nuro","6","200000"
"Nuro, Inc.","6","209000"
"NuTechs LLC","11","122500"
"Nutrien","17","112200"
"Nutrisense","9","82500"
"Nutrition 2018","4","158445"
"Nuveen","35","177000"
"Nuvei","19","100500"
"NV Energy","6","113000"
"NV5 Global","5","115000"
"nVent","16","87750"
"Nvidia","54","315000"
"NVIDIA","93","267875"
"NVIDIA Corporation","33","255000"
"nwo.ai","6","160000"
"NWOne LLC","1","115000"
"NWorld","24","96773"
"NWRPros","8","182544"
"NXP Semiconductors","49","90000"
"NYBC","5","120000"
"NYC ADMIN TRIALS AND HEARINGS","4","85133"
"NYC Administration for Children's Services","15","93027"
"NYC Careers","43","140000"
"NYC DEPARTMENT OF FINANCE","2","71239"
"NYC Department of Housing Preservation & Development","13","75000"
"NYC Department of Social Services","19","85133"
"NYC DEPARTMENT OF TRANSPORTATION","7","87761"
"NYC DEPT OF HEALTH/MENTAL HYGIENE","7","64140"
"NYC DISTRICT ATTORNEY KINGS COUNTY","2","63550"
"NYC EMPLOYEES RETIREMENT SYS","5","82500"
"NYC Health + Hospitals","32","110000"
"NYC HOUSING AUTHORITY","5","67070"
"NYS Department of Health","6","109164"
"NYS Office for People With Developmental Disabilities","5","71678"
"NYS Office of General Services","3","81705"
"NYS Office of Temporary & Disability Assistance","3","92528"
"NYU Langone","25","71750"
"NYU McSilver Institute for Poverty Policy and Research","4","100000"
"O'Reilly Auto Parts","27","122500"
"O3 Technology Solutions","7","100000"
"Oak Ridge National Laboratory","49","125000"
"Oak Street Health","10","150000"
"Oak Technologies Inc","11","74700"
"Oakmont Consulting","11","175000"
"Oakridge Staffing","20","250000"
"OANDA","26","131560"
"OAR","3","130000"
"OASYS, INC.","5","101000"
"Object One Technologies, Inc.","8","122946"
"Objective Medical Systems","3","106927"
"Observe","4","206000"
"Obsidian","2","120000"
"Occam Solutions Inc","17","75000"
"Ocean Media","7","175000"
"Ocorian","19","111175"
"Octave Bioscience","10","175000"
"Octo Consulting Group","42","125000"
"OCTO Technology","22","134241"
"Octopus Energy","31","157500"
"Oculus VR","3","207000"
"Odyssey Information Services","37","137500"
"Office of Inspector General","15","132368"
"Office of Inspector General, City of Chicago","8","104238"
"Office of Intelligence and Analysis (DHS)","4","152222"
"Office of Technology and Innovation","4","90000"
"Office of the Attorney General","1","87500"
"Office of the Chief Financial Officer (OCFO)","6","74802"
"Office of the Inspector General","2","148507"
"Office of the Inspector General for the City of Chicago","10","89076"
"Office of the New York State Attorney General","12","92187"
"Office of the Secretary of Defense","2","156000"
"Office of the Secretary of Health and Human Services","1","156000"
"Office of the Secretary of the Army","3","132368"
"Office of the State Auditor","7","81776"
"Ogletree Deakins","22","99500"
"Ohio Shared Information Services Inc","8","70000"
"Okaya Corp","8","115000"
"Okaya Inc","3","110000"
"Okcoin","6","189500"
"Okta","55","100000"
"OKX","40","230000"
"Olo","3","125000"
"Olympus Corporation of the Americas","16","95500"
"Omada Health","7","173000"
"OMD USA","21","100000"
"OMERS Administration Corporation","9","90000"
"Omio","19","147500"
"Omneky","11","120000"
"Omni Federal","8","137500"
"Omniware LLC","14","175000"
"On-Demand Group","19","100000"
"ON Data Staffing","11","145000"
